Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
ALL OCCUPATIONS,109080.00,809.00,60746.00,895.00,48334.00,726.00
MANAGEMENT,12480.00,1351.00,7332.00,1486.00,5147.00,1139.00
BUSINESS,5942.00,1137.00,2686.00,1327.00,3256.00,1004.00
COMPUTATIONAL,4009.00,1428.00,3036.00,1503.00,973.00,1245.00
ENGINEERING,2656.00,1424.00,2272.00,1452.00,383.00,1257.00
SCIENCE,1176.00,1206.00,662.00,1379.00,514.00,1067.00
SOCIAL SERVICE,2143.00,889.00,776.00,973.00,1367.00,845.00
LEGAL,1346.00,1391.00,624.00,1877.00,722.00,1135.00
EDUCATION,6884.00,956.00,1849.00,1144.00,5034.00,907.00
ARTS,1643.00,1001.00,930.00,1088.00,713.00,942.00
HEALTHCARE PROFESSIONAL,6566.00,1041.00,1639.00,1272.00,4928.00,991.00
HEALTHCARE SUPPORT,2395.00,498.00,320.00,577.00,2074.00,490.00
PROTECTIVE SERVICE,2729.00,796.00,2181.00,851.00,547.00,655.00
CULINARY,4124.00,441.00,2133.00,481.00,1991.00,414.00
GROUNDSKEEPING,3605.00,486.00,2330.00,517.00,1275.00,419.00
SERVICE,2427.00,498.00,664.00,597.00,1763.00,475.00
SALES,9725.00,716.00,5423.00,880.00,4303.00,578.00
OFFICE,13894.00,656.00,3961.00,693.00,9933.00,646.00
AGRICULTURAL,810.00,464.00,637.00,477.00,174.00,437.00
CONSTRUCTION,5722.00,749.00,5586.00,751.00,137.00,704.00
MAINTENANCE,4301.00,839.00,4159.00,842.00,143.00,761.00
PRODUCTION,7551.00,663.00,5548.00,729.00,2003.00,519.00
TRANSPORTATION,6953.00,646.00,5998.00,679.00,955.00,494.00